Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sum_temp	Peduncle_length	Peduncle_final_length	Peduncle_surface	Peduncle_PAR	Photosynthetic
83.0	382.7	7.1	4	Maxwell	(1, 2, 4)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 5, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 5)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2, 7)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 2)	2	8	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 1, 1, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 1, 1)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 1, 2, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 1, 2)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 1, 4)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 1)	5	5	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 2, 1, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 2, 1)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 2, 3)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 2)	6	4	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 3, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 3)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 4, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 4)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3, 6)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 3)	3	7	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 1, 1, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 1, 1)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 1, 3)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 1)	6	4	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 2, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 2)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 3, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 3)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4, 5)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 4)	4	6	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 5, 1, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 5, 1)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 5, 2, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 5, 2)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 5, 4)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 5)	5	5	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 6, 1, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 6, 1)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 6, 3)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 6)	6	4	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 7, 2)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 7)	7	3	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 8, 1)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 8)	8	2	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1, 10)	10	0	7.1	0.0	31.5844	0.0	0.0	True
83.0	382.7	7.1	4	Maxwell	(1,)	-1	11	16.1	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	1	Maxwell	(1,)	-1	11	6.8	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 1, 1)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 1, 3)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 1)	6	4	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 2, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 2)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 3, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 3)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1, 5)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 1)	4	6	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 2, 1, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 2, 1)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 2, 2, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 2, 2)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 2, 4)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 2)	5	5	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 3, 1, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 3, 1)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 3, 3)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 3)	6	4	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 4, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 4)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 5, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 5)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2, 7)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 2)	2	8	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 1, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 1)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 2, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 2)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1, 4)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 1)	5	5	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2, 1, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2, 1)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2, 3)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 2)	6	4	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 3, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 3)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 4, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 4)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3, 6)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 3)	3	7	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 1, 1, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 1, 1)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 1, 3)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 1)	6	4	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 2, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 2)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 3, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 3)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4, 5)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 4)	4	6	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 5, 1, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 5, 1)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 5, 2, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 5, 2)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 5, 4)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 5)	5	5	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 6, 1, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 6, 1)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 6, 3)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 6)	6	4	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 7, 2)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 7)	7	3	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 8, 1)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 8)	8	2	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1, 10)	10	0	13.9	0.0	31.5844	0.0	0.0	True
84.0	389.5	6.8	4	Maxwell	(1,)	-1	11	22.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 1, 1)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 1, 3)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 1)	6	4	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 2, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 2)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 3, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 3)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1, 5)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 1)	4	6	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 2, 1, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 2, 1)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 2, 2, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 2, 2)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 2, 4)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 2)	5	5	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 3, 1, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 3, 1)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 3, 3)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 3)	6	4	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 4, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 4)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 5, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 5)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2, 7)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 2)	2	8	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 1, 1, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 1, 1)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 1, 2, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 1, 2)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 1, 4)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 1)	5	5	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 2, 1, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 2, 1)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 2, 3)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 2)	6	4	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 3, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 3)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 4, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 4)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3, 6)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 3)	3	7	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 1, 1, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 1, 1)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 1, 3)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 1)	6	4	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 2, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 2)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 3, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 3)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4, 5)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 4)	4	6	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 5, 1, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 5, 1)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 5, 2, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 5, 2)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 5, 4)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 5)	5	5	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 6, 1, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 6, 1)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 6, 3)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 6)	6	4	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 7, 2)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 7)	7	3	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 8, 1)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 8)	8	2	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1, 10)	10	0	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	1	Maxwell	(1,)	-1	11	8.8	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	2	Maxwell	(1,)	-1	11	2.0	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 1, 1, 1)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 1, 1)	8	2	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 1, 3)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 1)	6	4	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 2, 2)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 2)	7	3	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 3, 1)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 3)	8	2	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1, 5)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 1)	4	6	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 2, 1, 2)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 2, 1)	7	3	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 2, 2, 1)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 2, 2)	8	2	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 2, 4)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 2)	5	5	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 3, 1, 1)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 3, 1)	8	2	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 3, 3)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 3)	6	4	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 4, 2)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 4)	7	3	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 5, 1)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 5)	8	2	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2, 7)	10	0	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 2)	2	8	15.9	0.0	31.5844	0.0	0.0	True
85.0	391.5	2.0	4	Maxwell	(1, 3, 1, 1, 2)	10	0	15.9	0.0	31.5844	0.0	0.0	True
